episode,reward,length,scanned_cells,timestep
556,-30.10,1,22,556
557,-30.10,1,22,557
558,-30.10,1,22,558
559,-30.10,1,22,559
560,-30.10,1,22,560
561,-30.10,1,22,561
562,-30.10,1,22,562
563,-30.10,1,22,563
564,-30.10,1,22,564
565,-30.10,1,22,565
566,-30.10,1,22,566
567,-30.10,1,22,567
568,-30.10,1,22,568
569,-30.10,1,22,569
570,-30.10,1,22,570
571,-30.10,1,22,571
572,-30.10,1,22,572
573,-30.10,1,22,573
574,-30.10,1,22,574
575,-30.10,1,22,575
576,-30.10,1,22,576
577,-30.10,1,22,577
578,-30.10,1,22,578
579,-30.10,1,22,579
580,-30.10,1,22,580
581,-30.10,1,22,581
582,-30.10,1,22,582
583,-30.10,1,21,583
584,-30.10,1,21,584
585,-30.10,1,21,585
586,-30.10,1,21,586
587,-30.10,1,21,587
588,-30.10,1,21,588
589,-30.10,1,21,589
590,-30.10,1,21,590
591,-30.10,1,21,591
592,-30.10,1,21,592
593,-30.10,1,21,593
594,-30.10,1,21,594
595,-30.10,1,21,595
596,-30.10,1,21,596
597,-30.10,1,21,597
598,-30.10,1,21,598
599,-30.10,1,21,599
600,-28.10,1,21,600
601,-28.10,1,21,601
602,-28.10,1,21,602
603,-28.10,1,21,603
604,-28.10,1,21,604
605,-28.10,1,21,605
606,-18.10,1,22,606
607,-18.10,1,22,607
608,-18.10,1,22,608
609,-28.10,1,22,609
610,-28.10,1,22,610
611,-28.10,1,22,611
612,-28.10,1,22,612
613,-28.10,1,22,613
614,-28.10,1,22,614
615,-28.10,1,22,615
616,-28.10,1,22,616
617,-28.10,1,22,617
618,-18.10,1,23,618
619,-18.10,1,23,619
620,-18.10,1,23,620
621,-28.10,1,23,621
622,-28.10,1,23,622
623,-28.10,1,23,623
624,-28.10,1,23,624
625,-28.10,1,23,625
626,-28.10,1,23,626
627,-28.10,1,23,627
628,-28.10,1,23,628
629,-18.10,1,24,629
630,-18.10,1,24,630
631,-18.10,1,24,631
632,-28.10,1,24,632
633,-28.10,1,24,633
634,-28.10,1,24,634
635,-28.10,1,24,635
636,-28.10,1,24,636
637,-28.10,1,24,637
638,-28.10,1,24,638
639,-28.10,1,24,639
640,-28.10,1,24,640
641,-28.10,1,24,641
642,-28.10,1,24,642
643,-28.10,1,24,643
